Código da IES,Nome da IES,Sigla da IES,Município,UF,Categoria Administrativa,Organização Acadêmica
55,UNIVERSIDADE DE SÃO PAULO,USP,SÃO PAULO,SP,Pública,Universidade
54,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,CAMPINAS,SP,Pública,Universidade
2129,ESCOLA DE ECONOMIA DE SÃO PAULO,EESP,SAO PAULO,SP,Privada,Faculdade
2591,ESCOLA BRASILEIRA DE ECONOMIA E FINANÇAS,EBEF,RIO DE JANEIRO,RJ,Privada,Faculdade
2368,FACULDADE DE ODONTOLOGIA SÃO LEOPOLDO MANDIC,SLMANDIC,CAMPINAS,SP,Privada,Faculdade
602,INSTITUTO TECNOLÓGICO DE AERONÁUTICA,ITA,"SAO JOSE DOSCAMPOS",SP,Pública,Faculdade
1851,ESCOLA BRASILEIRA DE ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS,EBAPE,RIO DE JANEIRO,RJ,Privada,Faculdade
849,FACULDADE JESUÍTA DE FILOSOFIA E TEOLOGIA,FAJE,BELO HORIZONTE,MG,Privada,Faculdade
3614,ESCOLA SUPERIOR DE CIÊNCIAS SOCIAIS,FGV,RIO DE JANEIRO,RJ,Privada,Faculdade
2397,FACULDADE FUCAPE,FUCAPE,VITORIA,ES,Privada,Faculdade
581,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,PORTO ALEGRE,RS,Pública,Universidade
592,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,LAVRAS,MG,Pública,Universidade
4925,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,UFABC,SANTO ANDRE,SP,Pública,Universidade
633,INSTITUTO MILITAR DE ENGENHARIA,IME,RIO DE JANEIRO,RJ,Pública,Faculdade
149,FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO,FAMERP,"SAO JOSE DO RIOPRETO",SP,Pública,Faculdade
4943,ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO DA BAIXADA SANTISTA,ESAGS BS,SANTOS,SP,Privada,Faculdade
575,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,BELO HORIZONTE,MG,Pública,Universidade
779,FACULDADE DE PONTA PORÃ,FAP,PONTA PORA,MS,Privada,Faculdade
597,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,UBERABA,MG,Pública,Universidade
1326,FACULDADE CAPIXABA DA SERRA,MULTIVIX SERRA,SERRA,ES,Privada,Faculdade
7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SAO CARLOS,SP,Pública,Universidade
8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,VICOSA,MG,Pública,Universidade
717,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,PORTO ALEGRE,RS,Pública,Universidade
1438,FACULDADE DE ADMINISTRAÇÃO DE EMPRESAS,FACAMP,CAMPINAS,SP,Privada,Faculdade
585,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,FLORIANOPOLIS,SC,Pública,Universidade
591,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SAO PAULO,SP,Pública,Universidade
1027,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,"CAMPOS DOSGOYTACAZES",RJ,Pública,Universidade
1841,FACULDADES INTEGRADAS ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE,FIAETPP,"PRESIDENTEPRUDENTE",SP,Privada,Faculdade
1161,INSPER INSTITUTO DE ENSINO E PESQUISA,INSPER,SAO PAULO,SP,Privada,Faculdade
2,UNIVERSIDADE DE BRASÍLIA,UNB,BRASILIA,DF,Pública,Universidade
890,ESCOLA DE GOVERNO PROFESSOR PAULO NEVES DE CARVALHO,EG,BELO HORIZONTE,MG,Pública,Faculdade
2128,ESCOLA DE DIREITO DE SÃO PAULO,DIREITO GV,SAO PAULO,SP,Privada,Faculdade
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RIO DE JANEIRO,RJ,Pública,Universidade
11289,ESCOLA SUPERIOR NACIONAL DE SEGUROS DE SÃO PAULO,ESNS-SP,SAO PAULO,SP,Privada,Faculdade
3443,FACULDADE INEDI,CESUCA,CACHOEIRINHA,RS,Privada,Faculdade
3998,INSTITUTO INFNET RIO DE JANEIRO,INFNET,RIO DE JANEIRO,RJ,Privada,Faculdade
151,ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO,FGV-EAESP,SAO PAULO,SP,Privada,Faculdade
56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,SAO PAULO,SP,Pública,Universidade
1030,FACULDADE DE ECONOMIA E FINANÇAS IBMEC,"FACULDADESIBMEC",RIO DE JANEIRO,RJ,Privada,Faculdade
4814,FACULDADE DE TECNOLOGIA SENAI FELIX GUISARD,,TAUBATE,SP,Privada,Faculdade
3543,FACULDADE NOVO HAMBURGO,FACULDADE IENH,NOVO HAMBURGO,RS,Privada,Faculdade
415,FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO,FCMSCSP,SAO PAULO,SP,Privada,Faculdade
528,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RIO DE JANEIRO,RJ,Privada,Universidade
213,CENTRO UNIVERSITÁRIO FECAP,FECAP,SAO PAULO,SP,Privada,Centro Universitário
582,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,SANTA MARIA,RS,Pública,Universidade
1484,FACULDADE IBMEC,IBMEC,BELO HORIZONTE,MG,Privada,Faculdade
5316,FACULDADES UNIFICADAS DE LEOPOLDINA,FUL,LEOPOLDINA,MG,Privada,Faculdade
43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,FLORIANOPOLIS,SC,Pública,Universidade
570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,NATAL,RN,Pública,Universidade
3758,FACULDADE SOCIESC,,FLORIANOPOLIS,SC,Privada,Faculdade
595,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,ALFENAS,MG,Pública,Universidade
2220,FACULDADE COMUNITÁRIA DE JUIZ DE FORA,FCJF,JUIZ DE FORA,MG,Privada,Faculdade
4810,FACULDADE ANTÔNIO MENEGHETTI,AMF,RESTINGA SECA,RS,Privada,Faculdade
12784,FACULDADE DE TECNOLOGIA TECBRASIL - UNIDADE NOVO HAMBURGO,"Ftec NovoHamburgo",NOVO HAMBURGO,RS,Privada,Faculdade
3162,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",IF-SC,FLORIANOPOLIS,SC,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
4773,FACULDADE IBS,IBS,BELO HORIZONTE,MG,Privada,Faculdade
3682,INSTITUTO SUPERIOR DE EDUCAÇÃO DO MUNICÍPIO DE ITAPERUNA,ISEMI,ITAPERUNA,RJ,Pública,Faculdade
3523,FACULDADE DE DIREITO DA FUNDAÇÃO ESCOLA SUPERIOR DO MINISTÉRIO PÚBLICO,,PORTO ALEGRE,RS,Privada,Faculdade
576,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,JUIZ DE FORA,MG,Pública,Universidade
2579,FACULDADE ATENAS,,PARACATU,MG,Privada,Faculdade
1723,ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO,ESAGS,SANTO ANDRE,SP,Privada,Faculdade
3962,FACULDADE DE TECNOLOGIA SENAI CIMATEC,SENAI CIMATEC,SALVADOR,BA,Privada,Faculdade
584,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GOIANIA,GO,Pública,Universidade
4024,FACULDADE DE TECNOLOGIA DE MOCOCA,FATEC,MOCOCA,SP,Pública,Faculdade
2192,INSTITUTO SUPERIOR DE EDUCAÇÃO IVOTI,ISEI,IVOTI,RS,Privada,Faculdade
1578,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",IFSul,PELOTAS,RS,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
3012,FAJOPA - FACULDADE JOÃO PAULO II,FAJOPA,MARILIA,SP,Privada,Faculdade
634,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,PELOTAS,RS,Pública,Universidade
1644,FACULDADE UNIME DE EDUCAÇÃO E COMUNICAÇÃO,FEC,LAURO DE FREITAS,BA,Privada,Faculdade
2770,FACULDADE UNIDA DE CAMPINAS,FACUNICAMPS,GOIANIA,GO,Privada,Faculdade
4922,FACULDADE INTEGRADA DAS CATARATAS,,FOZ DO IGUACU,PR,Privada,Faculdade
546,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,SAO PAULO,SP,Privada,Universidade
9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,LONDRINA,PR,Pública,Universidade
598,UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI,UNIFEI,ITAJUBA,MG,Pública,Universidade
588,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,CURITIBA,PR,Pública,Universidade
1921,FACULDADE DE SÃO BENTO,FSB,SAO PAULO,SP,Privada,Faculdade
2096,FACULDADE COMUNITÁRIA DE MANHUAÇU,FCM,MANHUACU,MG,Privada,Faculdade
580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,RECIFE,PE,Pública,Universidade
21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,PORTO ALEGRE,RS,Privada,Universidade
57,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,MARINGA,PR,Pública,Universidade
16410,FACULDADE DE TECNOLOGIA DE CATANDUVA,FATEC Catanduva,CATANDUVA,SP,Pública,Faculdade
571,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,CURITIBA,PR,Pública,Universidade
583,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,FORTALEZA,CE,Pública,Universidade
2622,INSTITUTO SUPERIOR DE EDUCAÇÃO DA SERRA,ISES,SERRA,ES,Privada,Faculdade
