CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,CO_CINE_AREA_ESPECIFICA,NO_CINE_AREA_ESPECIFICA,CO_CINE_AREA_DETALHADA,NO_CINE_AREA_DETALHADA,CO_CINE_ROTULO,NO_CINE_ROTULO
0,Programas básicos,1,Programas básicos,11,Programas básicos,0011A01,ABI Educação
0,Programas básicos,1,Programas básicos,11,Programas básicos,0011A02,ABI Artes e humanidades
0,Programas básicos,1,Programas básicos,11,Programas básicos,0011A03,"ABI Ciências sociais, comunicação e informação"
0,Programas básicos,1,Programas básicos,11,Programas básicos,0011A04,"ABI Negócios, administração e direito"
0,Programas básicos,1,Programas básicos,11,Programas básicos,0011A05,"ABI Ciências naturais, matemática e estatística"
0,Programas básicos,1,Programas básicos,11,Programas básicos,0011A06,ABI Computação e Tecnologias da Informação e Comunicação (TIC)
0,Programas básicos,1,Programas básicos,11,Programas básicos,0011A07,"ABI Engenharia, produção e construção"
0,Programas básicos,1,Programas básicos,11,Programas básicos,0011A08,"ABI Agricultura, silvicultura, pesca e veterinária"
0,Programas básicos,1,Programas básicos,11,Programas básicos,0011A09,ABI Saúde e bem-estar
0,Programas básicos,1,Programas básicos,11,Programas básicos,0011A10,ABI Serviços
1,Educação,11,Educação,111,Ciência da educação,0111C01,Ciência da educação
1,Educação,11,Educação,111,Ciência da educação,0111P01,Processos escolares
1,Educação,11,Educação,111,Ciência da educação,0111P02,Psicopedagogia
1,Educação,11,Educação,112,Formação de professores de educação infantil,0112E01,Educação infantil formação de professor
1,Educação,11,Educação,113,Formação de professores sem áreas específicas,0113E01,Educação do campo formação de professor
1,Educação,11,Educação,113,Formação de professores sem áreas específicas,0113E02,Educação especial formação de professor
1,Educação,11,Educação,113,Formação de professores sem áreas específicas,0113E03,Educação indígena formação de professor
1,Educação,11,Educação,113,Formação de professores sem áreas específicas,0113F01,Formação pedagógica de professor para a educação básica
1,Educação,11,Educação,113,Formação de professores sem áreas específicas,0113P01,Pedagogia
1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),0114A01,Artes formação de professor
1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),0114A02,Artes visuais formação de professor
1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),0114B01,Biologia formação de professor
